Te,ssd
2020-09-02,3.5578769623416644
2020-09-03,3.716518785023839
2020-09-04,3.901057122064152
2020-09-05,4.039480496945763
2020-09-06,4.191124193959302
2020-09-07,4.311836749529858
2020-09-08,4.404548302393633
2020-09-09,4.47203143928807
2020-09-10,4.5641801038295045
2020-09-11,4.654529500954256
2020-09-12,4.733770861557116
2020-09-13,4.799937736996643
2020-09-14,4.89001671434771
2020-09-15,5.00295108842433
2020-09-16,5.147045724358484
2020-09-17,5.249268140885339
2020-09-18,5.373927602884066
2020-09-19,5.55800362491744
2020-09-20,5.894012705040878
2020-09-21,6.299199151667701
2020-09-22,6.754967062715589
2020-09-23,7.280557646081273
2020-09-24,7.827205450404095
2020-09-25,8.318061067532017
2020-09-26,8.736828162204079
2020-09-27,9.020441088708946
2020-09-28,9.303441259295148
2020-09-29,9.611280019191524
2020-09-30,9.922521196793067
2020-10-01,10.211424751910256
2020-10-02,10.472073069192835
2020-10-03,10.758684295057956
2020-10-04,10.98803257678621
2020-10-05,11.136015308806321
2020-10-06,11.186720549372637
2020-10-07,11.139041860764117
2020-10-08,11.103340488515759
2020-10-09,11.084644474220683
2020-10-10,11.05525181775826
2020-10-11,11.04871752927353
2020-10-12,11.036249729275903
2020-10-13,11.024042563802253
2020-10-14,11.018672471958988
2020-10-15,10.998100977081323
2020-10-16,10.966519509051105
2020-10-17,10.911833686687292
2020-10-18,10.8190216904237
2020-10-19,10.717568378488954
2020-10-20,10.62459342498549
2020-10-21,10.53647944361698
2020-10-22,10.440338758118159
2020-10-23,10.346598262326616
2020-10-24,10.260144961500448
2020-10-25,10.18239442709251
2020-10-26,10.11046107506753
2020-10-27,10.011257802802177
2020-10-28,9.925577358327393
2020-10-29,9.854999344338475
2020-10-30,9.770895097157684
2020-10-31,9.681962254231113
2020-11-01,9.610803563542246
2020-11-02,9.537150226987364
2020-11-03,9.490671883557889
2020-11-04,9.421886113970578
2020-11-05,9.339549668694438
2020-11-06,9.269692063329945
2020-11-07,9.188026135894177
2020-11-08,9.091210281627331
2020-11-09,8.997953921005287
2020-11-10,8.89187975122857
2020-11-11,8.788879634104351
2020-11-12,8.69501588871637
2020-11-13,8.612831535010661
2020-11-14,8.525300083904252
2020-11-15,8.455887750673613
2020-11-16,8.407905510176569
2020-11-17,8.380969155286135
2020-11-18,8.351172442790002
2020-11-19,8.315217234039864
2020-11-20,8.276126970419229
2020-11-21,8.247918754896677
2020-11-22,8.235180389967587
2020-11-23,8.2077879983734
2020-11-24,8.182247853624684
2020-11-25,8.167177640486912
2020-11-26,8.162415140364555
2020-11-27,8.165819185428793
2020-11-28,8.174931293859453
2020-11-29,8.156045681397758
2020-11-30,8.132466801723734
2020-12-01,8.084687588080026
2020-12-02,8.008063583426722
2020-12-03,7.918660962064135
2020-12-04,7.810800250338118
2020-12-05,7.711996292576801
2020-12-06,7.616082903201166
2020-12-07,7.533091137271472
2020-12-08,7.495824910648784
2020-12-09,7.48219230650485
2020-12-10,7.482893259553465
2020-12-11,7.529799139077108
2020-12-12,7.568670744094752
2020-12-13,7.640259650405234
2020-12-14,7.7115522005824735
2020-12-15,7.723351975066046
2020-12-16,7.716217966218783
2020-12-17,7.692977250932318
2020-12-18,7.6385232798071065
2020-12-19,7.56066809683868
2020-12-20,7.459469629112668
2020-12-21,7.36859371029035
2020-12-22,7.3427332882960625
2020-12-23,7.342566498222137
2020-12-24,7.358052137266618
2020-12-25,7.415856142717872
2020-12-26,7.488366709950163
2020-12-27,7.533632831302529
2020-12-28,7.539470036714013
2020-12-29,7.572416041435522
2020-12-30,7.669692982857693
2020-12-31,7.834335051557575
2021-01-01,7.956082083602161
2021-01-02,8.097367198197608
2021-01-03,8.187930241305862
2021-01-04,8.279835730916153
2021-01-05,8.278061219640895
2021-01-06,8.170385157460375
2021-01-07,8.001903759993898
2021-01-08,7.884909364928899
2021-01-09,7.722500570219272
2021-01-10,7.610399000051826
2021-01-11,7.508700892597701
2021-01-12,7.400442259479151
2021-01-13,7.27090047247853
2021-01-14,7.079759583951765
2021-01-15,6.896076207408931
2021-01-16,6.766400462640129
2021-01-17,6.6154639805473385
2021-01-18,6.454965637020181
2021-01-19,6.284161700081662
2021-01-20,6.114235653930511
2021-01-21,5.9834126042821465
2021-01-22,5.835508641462375
2021-01-23,5.6452205373001165
2021-01-24,5.473288025921579
2021-01-25,5.2890861429964495
2021-01-26,5.13709719948534
2021-01-27,5.005277020402224
2021-01-28,4.88893186318368
2021-01-29,4.759341868568004
2021-01-30,4.655155694959173
2021-01-31,4.563996906108344
2021-02-01,4.507102705236581
2021-02-02,4.472858350998789
2021-02-03,4.471814480519922
2021-02-04,4.4440229074414885
2021-02-05,4.439748417970904
2021-02-06,4.468460026547536
2021-02-07,4.520274187938117
2021-02-08,4.591313700543376
2021-02-09,4.679649254808355
2021-02-10,4.795025852721582
2021-02-11,4.981574128378824
2021-02-12,5.179228620327471
2021-02-13,5.391036221376378
2021-02-14,5.620228615003452
2021-02-15,5.8640214744658445
2021-02-16,6.118919276377961
2021-02-17,6.333751126192173
2021-02-18,6.53027456910593
2021-02-19,6.965915804005415
2021-02-20,7.362382100190783
