Te,nnCe
2020-07-31,592.483681604602
2020-08-01,605.286882749743
2020-08-02,618.884455333118
2020-08-03,631.909060679793
2020-08-04,645.473087172027
2020-08-05,659.386663933957
2020-08-06,673.560558363147
2020-08-07,687.872662687841
2020-08-08,701.843267804712
2020-08-09,715.814543843406
2020-08-10,730.633194144339
2020-08-11,744.79299921525
2020-08-12,758.74213483379
2020-08-13,772.479259156315
2020-08-14,786.327085579607
2020-08-15,800.574781409309
2020-08-16,814.444748252755
2020-08-17,827.961810217391
2020-08-18,841.511076429522
2020-08-19,854.924816433441
2020-08-20,868.485488316561
2020-08-21,882.04146374692
2020-08-22,896.096605013469
2020-08-23,910.061842755757
2020-08-24,924.07069041653
2020-08-25,938.054043048035
2020-08-26,952.182314793272
2020-08-27,965.893273164706
2020-08-28,979.73908682253
2020-08-29,993.187714761237
2020-08-30,1006.65647035463
2020-08-31,1019.4341764705
2020-09-01,1031.87843444042
2020-09-02,1044.83594760482
2020-09-03,1058.08933729308
2020-09-04,1071.14212135631
2020-09-05,1083.13954539223
2020-09-06,1094.18761504884
2020-09-07,1105.95960935228
2020-09-08,1118.1274475312
2020-09-09,1130.41336795093
2020-09-10,1142.12699205579
2020-09-11,1154.19352103946
2020-09-12,1166.9027931294
2020-09-13,1180.37490333191
2020-09-14,1193.43640937884
2020-09-15,1206.2080771983
2020-09-16,1218.16323315938
2020-09-17,1230.0989323876
2020-09-18,1241.63677497487
2020-09-19,1253.46311394597
2020-09-20,1265.35117772476
2020-09-21,1276.68975653066
2020-09-22,1288.96360035758
2020-09-23,1301.26897751018
2020-09-24,1313.72531207291
2020-09-25,1326.43458416286
2020-09-26,1339.22101226242
2020-09-27,1351.87124323196
2020-09-28,1365.09242867272
2020-09-29,1377.5735873429
2020-09-30,1390.43985513939
2020-10-01,1402.90558260765
2020-10-02,1415.20290869837
2020-10-03,1427.16745756497
2020-10-04,1439.15213408625
2020-10-05,1450.1780633227
2020-10-06,1460.91817986263
2020-10-07,1471.39328228253
2020-10-08,1481.95157900847
2020-10-09,1492.35153818422
2020-10-10,1502.08124645896
2020-10-11,1510.76297484643
2020-10-12,1519.72716132131
2020-10-13,1528.67927120339
2020-10-14,1537.30598400139
2020-10-15,1545.85822447705
2020-10-16,1554.36618411241
2020-10-17,1563.41088120603
2020-10-18,1573.15937529181
2020-10-19,1583.06016863137
2020-10-20,1592.28869830445
2020-10-21,1601.01604937587
2020-10-22,1609.81921461328
2020-10-23,1618.44995294221
2020-10-24,1627.12228842417
2020-10-25,1635.71612605285
2020-10-26,1643.81213968898
2020-10-27,1653.0594551731
2020-10-28,1661.42920491296
2020-10-29,1668.934807345
2020-10-30,1676.52830053583
2020-10-31,1683.32004214838
2020-11-01,1689.37779528675
2020-11-02,1695.62743206645
2020-11-03,1700.54663087147
2020-11-04,1706.67080527029
2020-11-05,1713.35654123484
2020-11-06,1720.17377787665
2020-11-07,1727.77263844207
